Date,Calories (kcal),Distance (m),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Cycling duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms)
2016-08-29,1478.25,,,,,,,,,,,,,,,,
2016-08-30,1478.25,,,,,,,,,,,,,,,,
2016-08-31,1478.25,,,,,,,,,,,,,,,,
2016-09-01,1478.25,,,,,,,,,,,,,,,,
2016-09-02,1478.25,,,,,,,,,,,,,,,,
2016-09-03,1478.25,,,,,,,,,,,,,,,,
2016-09-04,1320.0413818359375,3222.25146484375,-37.82856369018555,145.17587280273438,-37.81782150268555,145.1856231689453,3.319793701171875,3.609999895095825,0.0,2651,,,,,,,1001857
2016-11-04,573.9496459960938,,,,,,,,,,,,,,,,
2016-11-05,1478.25,,,,,,,,,,,,,,,,
2016-11-06,1478.25,,,,,,,,,,,,,,,,
2016-11-07,1478.25,,,,,,,,,,,,,,,,
2016-11-08,1478.25,,,,,,,,,,,,,,,,
2016-11-09,1478.25,,,,,,,,,,,,,,,,
2016-11-10,1478.25,,,,,,,,,,,,,,,,
2016-11-11,1615.7369384765625,2550.89892578125,-37.82888412475586,144.96311950683594,-37.77984619140625,145.184326171875,9.725784301757812,29.430002212524414,0.550000011920929,5994,65.0,65.0,65.0,,25394196,2669562,
2016-11-12,1653.251708984375,2138.298828125,-37.90452575683594,144.9606170654297,-37.81532669067383,145.1842041015625,6.359206676483154,28.010000228881836,0.5147814750671387,5086,,,,,58257624,3397972,
2016-11-13,1512.1995849609375,305.9092712402344,-37.882713317871094,145.13214111328125,-37.8144645690918,145.22415161132812,4.812081813812256,21.729999542236328,0.5299999713897705,1044,,,,,78910861,659192,
2016-11-14,1556.84521484375,1350.3931884765625,-37.84304428100586,144.97242736816406,-37.81013870239258,145.18844604492188,6.424243450164795,18.69000244140625,0.5299999713897705,2474,,,,,77207761,1526069,
2016-11-15,1620.61328125,2105.70556640625,-37.83982849121094,144.9709930419922,-37.80738830566406,145.18844604492188,5.030425071716309,21.559999465942383,0.550817608833313,4417,,,,,74986415,2764240,
2016-11-16,1723.1409912109375,5235.7470703125,-37.837493896484375,144.97254943847656,-37.810211181640625,145.18844604492188,8.787400245666504,17.610139846801758,0.5,8070,66.0,66.0,66.0,,76099256,4612058,60410
